DER-LAB,SAL-SEG,RS,INCLU,RES-CS
0.724,0.813,-2.211,0.258,1.155
-0.219,-0.215,0.013,0.399,1.002
-0.743,-0.679,-0.773,-0.777,0.254
-0.928,0.591,-0.958,-1.042,-0.655
-1.279,-1.234,-0.302,-0.704,-0.775
-0.825,0.813,-1.137,-0.642,-1.984
-0.404,-0.835,-1.044,-0.668,-0.342
0.571,0.239,0.63,0.54,0.706
-0.37,-0.493,-0.686,-0.49,-0.188
-2.022,-0.169,-0.242,-2.285,-1.676
-1.062,-0.437,-0.049,-0.443,-0.804
0.724,0.017,0.142,0.332,-0.038
0.875,0.813,0.393,0.52,0.872
0.574,-0.16,-0.681,-1.958,-2.146
0.875,0.813,1.391,0.847,-0.212
-0.333,0.007,-1.278,-0.527,-0.645
-0.354,0.536,0.822,0.399,0.255
0.875,0.349,-0.706,-0.21,-0.645
-0.367,0.813,0.179,0.593,0.706
-0.097,0.813,-1.165,-0.445,0.274
0.724,0.581,0.227,1.129,-0.635
0.389,0.359,1.075,0.54,1.155
-0.367,0.813,0.179,0.593,0.706
-0.367,0.813,0.179,0.593,0.706
1.21,0.813,1.053,1.326,0.866
1.21,0.813,-0.643,0.706,1.155
-0.216,0.813,-0.469,-0.257,-0.175
-0.216,0.813,-0.469,-0.257,-0.175
-0.586,0.239,-1.076,-2.332,-0.364
0.116,-0.261,0.098,-0.245,0.414
0.298,-0.076,-0.299,-2.125,0.388
0.204,0.591,1.075,0.072,-0.804
-1.445,-1.299,-1.047,-1.14,-1.999
1.21,0.813,-0.691,0.48,0.554
0.724,0.591,0.142,0.106,0.095
-0.169,-0.428,0.142,-0.313,0.137
1.21,0.813,0.91,1.326,1.155
-0.182,-0.437,-0.369,-0.734,-0.053
1.21,0.813,-0.24,0.903,0.106
1.21,0.239,1.289,-0.104,0.255
-1.035,-2.846,-0.43,-1.031,1.155
0.724,0.536,1.264,0.399,-1.842
-0.169,-0.215,0.608,0.27,0.096
0.574,0.813,-0.172,-0.881,-0.188
0.54,0.239,-0.517,-1.49,0.243
-0.68,-0.512,-0.302,0.364,-0.175
-0.435,0.813,-0.367,-0.678,-1.386
-0.367,-0.79,-1.173,-0.845,-0.798
0.724,0.813,0.117,-0.666,0.519
0.724,0.359,1.073,0.27,-0.187
-0.521,-0.483,0.543,0.493,-0.175
-0.029,0.536,-0.43,0.529,0.277
-0.097,0.536,0.267,-0.439,-1.844
-0.029,0.536,-0.43,0.529,0.277
0.875,-0.224,0.269,0.343,0.068
0.088,-0.734,-0.115,0.061,-0.801
-0.367,0.017,-0.089,-1.022,-1.372
0.085,-0.447,-1.768,-0.362,0.706
0.574,0.813,0.267,0.099,0.084
-0.7,-0.039,-0.091,-0.819,-2.277
0.54,0.813,-0.049,-0.875,0.707
-0.825,-0.447,-1.83,-0.612,-1.105
0.389,0.813,0.394,0.847,0.255
1.06,0.813,0.398,0.48,0.874
0.15,0.813,0.025,-0.466,0.407
-0.959,0.007,0.44,-0.069,-0.346
1.21,0.813,1.732,1.326,1.014
1.21,0.591,1.228,1.185,1.155
0.238,0.313,0.608,0.025,-0.493
0.571,-0.624,-0.127,-1.022,0.124